Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Number of Google Reviews,Normalized Rating,Normalized Fee,Normalized Time,Normalized Reviews,Weekend Availability Score,Significance Score,Type Score,Airport Score,Ranking Score
309,Southern,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,2005,4.0,4.5,890,Yes,,Entertainment,Yes,0.95,All,95000.0,0.9,0.8813333333333333,0.4285714285714286,0.12837837837837837,1.0,0.15,0.1,0.05,0.6136092664092663
198,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,Unknown,5.0,4.7,0,Yes,,Religious,No,0.55,All,55000.00000000001,0.9400000000000001,1.0,0.2857142857142857,0.07432432432432433,1.0,0.2,0.4,0.05,0.6106467181467182
68,Western,Gujarat,Junagadh,Gir National Park,National Park,1965,3.0,4.5,3500,No,,Wildlife,Yes,0.08,Morning,8000.0,0.9,0.5333333333333333,0.5714285714285714,0.010810810810810811,1.0,0.25,0.4,0.0,0.6100096525096524
25,Western,Maharastra,Mumbai,Elephanta Caves,Monument,1987,4.0,4.3,550,Yes,,Historical,Yes,0.35,All ,35000.0,0.86,0.9266666666666666,0.4285714285714286,0.0472972972972973,1.0,0.3,0.1,0.05,0.6098011583011583
180,Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5.0,4.7,150,No,,Nature,Yes,0.035,Morning,3500.0000000000005,0.9400000000000001,0.98,0.2857142857142857,0.00472972972972973,1.0,0.3,0.4,0.0,0.6031872586872588
2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,40000.0,0.9199999999999999,0.992,0.2857142857142857,0.05405405405405406,1.0,0.2,0.4,0.05,0.6024196911196911
162,Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,Unknown,5.0,4.8,0,Yes,,Adventure,Yes,0.01,Morning,1000.0,0.96,1.0,0.2857142857142857,0.0013513513513513514,1.0,0.35,0.1,0.05,0.6008494208494207
35,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,1996,4.0,4.4,1150,Yes,,Entertainment,Yes,0.45,All,45000.0,0.8800000000000001,0.8466666666666667,0.4285714285714286,0.060810810810810814,1.0,0.15,0.1,0.05,0.5966525096525097
5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,25000.0,0.8400000000000001,1.0,0.5714285714285714,0.033783783783783786,0.5,0.05,0.1,0.05,0.5948069498069498
47,Eastern,West Bengal,Kolkata,Eden Gardens,Cricket Ground,1864,3.0,4.1,2500,Yes,,Sports,Yes,0.1,All,10000.0,0.82,0.6666666666666667,0.5714285714285714,0.013513513513513514,1.0,0.1,0.1,0.05,0.5902799227799228
15,Northern,Delhi,Delhi,National Science Centre,Science,1992,5.0,4.4,70,Yes,,Scientific,Yes,0.23,All,23000.0,0.8800000000000001,0.9906666666666667,0.2857142857142857,0.031081081081081083,1.0,0.1,0.1,0.05,0.5699223938223938
24,Western,Maharastra,Mumbai,Essel World,Amusement Park,1986,5.0,4.3,1149,Yes,,Recreational,Yes,0.27,All,27000.0,0.86,0.8468,0.2857142857142857,0.03648648648648649,1.0,0.25,0.1,0.05,0.5513829343629344
110,Southern,Kerala,Kochi,Wonderla Amusement Park,Amusement Park,2016,5.5,4.6,750,Yes,,Entertainment,Yes,0.41,All,41000.0,0.9199999999999999,0.9,0.2142857142857143,0.05540540540540541,1.0,0.15,0.1,0.05,0.5498262548262548
200,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,Unknown,6.0,4.5,0,No,,Religious,Yes,0.11,All,11000.0,0.9,1.0,0.1428571428571429,0.014864864864864866,1.0,0.2,0.4,0.0,0.5493436293436295
72,Western,Gujarat,Rann of Kutch,Rann Utsav,Cultural,Unknown,3.0,4.9,7500,Yes,,Cultural,Yes,0.1,Evening,10000.0,0.9800000000000001,0.0,0.5714285714285714,0.013513513513513514,1.0,0.15,0.1,0.05,0.5327799227799227
167,Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5.0,3.8,1500,Yes,,Recreational,Yes,0.1,All,10000.0,0.76,0.8,0.2857142857142857,0.013513513513513514,1.0,0.25,0.1,0.05,0.517065637065637
78,Western,Gujarat,Ahmedabad,Science City,Science,2002,7.0,4.4,500,Yes,Monday,Educational,Yes,0.11,All,11000.0,0.8800000000000001,0.9333333333333333,0.0,0.014864864864864866,1.0,0.1,0.1,0.05,0.47398648648648645
26,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,2013,5.0,1.4,1149,No,Monday,Recreational,Yes,0.95,All,95000.0,0.27999999999999997,0.8468,0.2857142857142857,0.12837837837837837,1.0,0.25,0.1,0.0,0.4130721235521236
